gene	chr	coord	expression_breadth
ENSMUSG00000062352	chr12	21280000	32
ENSMUSG00000057375	chr4	107300000	32
ENSMUSG00000026344	chr1	125900000	32
ENSMUSG00000056359	chr12	73400000	3
ENSMUSG00000020086	chr10	61780000	32
ENSMUSG00000029248	chr5	77000000	22
ENSMUSG00000014543	chr6	129860000	17
ENSMUSG00000057069	chr13	12560000	32
ENSMUSG00000040774	chr3	106540000	32
ENSMUSG00000034714	chr11	114660000	32
ENSMUSG00000032948	chr16	75580000	10
ENSMUSG00000037111	chr3	51560000	32
ENSMUSG00000079084	chr9	13240000	31
ENSMUSG00000030718	chr7	100360000	32
ENSMUSG00000070044	chr8	45380000	31
ENSMUSG00000024590	chr18	56700000	32
ENSMUSG00000043391	chr16	21680000	32
ENSMUSG00000062960	chr5	75960000	32
ENSMUSG00000025557	chr14	121500000	26
ENSMUSG00000031584	chr8	33640000	32
ENSMUSG00000070419	chr5	145340000	6
ENSMUSG00000022894	chr16	85900000	32
ENSMUSG00000027796	chr3	54740000	32
ENSMUSG00000022098	chr14	70520000	32
ENSMUSG00000078772	chr4	19600000	19
ENSMUSG00000011008	chr3	146140000	29
ENSMUSG00000036054	chr8	70220000	32
ENSMUSG00000055385	chr5	108760000	14
ENSMUSG00000032186	chr9	75600000	32
ENSMUSG00000031289	chrX	147420000	18
ENSMUSG00000032185	chr9	21540000	32
ENSMUSG00000021190	chr12	102420000	32
ENSMUSG00000082361	chr5	91400000	28
ENSMUSG00000025004	chr19	39800000	16
ENSMUSG00000033623	chr5	108460000	32
ENSMUSG00000025064	chr19	47680000	32
ENSMUSG00000079710	chr17	15040000	23
ENSMUSG00000094590	chr14	6680000	6
ENSMUSG00000028238	chr4	19920000	26
ENSMUSG00000038060	chr9	119100000	23
ENSMUSG00000024622	chr18	61160000	32
ENSMUSG00000024981	chr19	55240000	32
ENSMUSG00000095930	chr13	119740000	32
ENSMUSG00000030235	chr6	141520000	17
ENSMUSG00000040327	chr17	46540000	32
ENSMUSG00000040213	chr3	142700000	32
ENSMUSG00000039813	chr4	46640000	32
ENSMUSG00000030345	chr6	126920000	15
ENSMUSG00000040919	chr11	30460000	18
ENSMUSG00000046157	chr12	79000000	32
ENSMUSG00000037031	chr10	62220000	32
ENSMUSG00000078515	chr4	141720000	32
ENSMUSG00000038178	chr11	75520000	32
ENSMUSG00000035093	chr2	125780000	32
ENSMUSG00000029231	chr5	75140000	32
ENSMUSG00000055782	chr15	91180000	31
ENSMUSG00000020516	chr11	86540000	32
ENSMUSG00000045053	chr17	83620000	20
ENSMUSG00000030110	chr6	118180000	32
ENSMUSG00000034164	chr11	5140000	32
ENSMUSG00000074673	chr2	152960000	30
ENSMUSG00000021756	chr13	112460000	32
ENSMUSG00000021910	chr14	31200000	32
ENSMUSG00000015127	chr17	25180000	32
ENSMUSG00000052337	chr6	71820000	32
ENSMUSG00000038146	chr17	32160000	32
ENSMUSG00000021624	chr13	102680000	31
ENSMUSG00000072592	chr15	43460000	0
ENSMUSG00000042167	chr13	93180000	23
ENSMUSG00000005968	chr3	94640000	32
ENSMUSG00000039457	chr16	5120000	31
ENSMUSG00000032280	chr9	61360000	32
ENSMUSG00000070811	chr7	13720000	1
ENSMUSG00000031509	chr8	11700000	10
ENSMUSG00000021109	chr12	73900000	32
ENSMUSG00000079477	chr6	88040000	32
ENSMUSG00000056832	chr6	38380000	32
ENSMUSG00000032769	chr1	14900000	13
ENSMUSG00000091888	chr10	79140000	0
ENSMUSG00000021500	chr13	55620000	32
ENSMUSG00000044206	chrX	96280000	21
ENSMUSG00000028927	chr4	140900000	32
ENSMUSG00000041133	chrX	152000000	32
ENSMUSG00000009741	chr9	113920000	32
ENSMUSG00000020246	chr10	82680000	32
ENSMUSG00000022257	chr15	34220000	32
ENSMUSG00000019861	chr10	52380000	32
ENSMUSG00000039476	chr2	30820000	32
ENSMUSG00000032594	chr9	108000000	32
ENSMUSG00000023025	chr15	99960000	32
ENSMUSG00000047696	chr3	36040000	5
ENSMUSG00000030084	chr6	89360000	32
ENSMUSG00000070426	chr7	102060000	32
ENSMUSG00000030945	chr7	119540000	14
ENSMUSG00000005698	chr8	105620000	32
ENSMUSG00000000253	chr13	45500000	32
ENSMUSG00000041477	chr6	119160000	32
ENSMUSG00000034462	chr5	104440000	32
ENSMUSG00000072889	chr5	72540000	32
ENSMUSG00000017550	chr11	80080000	32
ENSMUSG00000061048	chr8	106500000	31
ENSMUSG00000049115	chr13	30320000	32
ENSMUSG00000027774	chr3	67420000	32
ENSMUSG00000004661	chr9	57820000	32
ENSMUSG00000042719	chr5	121380000	32
ENSMUSG00000039533	chr5	142600000	31
ENSMUSG00000064145	chr9	108640000	32
ENSMUSG00000044393	chr18	20540000	31
ENSMUSG00000022679	chr16	13900000	32
ENSMUSG00000027823	chr3	63960000	32
ENSMUSG00000026255	chr1	87260000	32
ENSMUSG00000040687	chr2	91180000	32
ENSMUSG00000026986	chr2	24040000	31
ENSMUSG00000024154	chr17	88660000	19
ENSMUSG00000002771	chr7	45860000	32
ENSMUSG00000006281	chr14	50860000	32
ENSMUSG00000022809	chr16	38280000	22
ENSMUSG00000079620	chr16	32720000	27
ENSMUSG00000000385	chr16	97600000	29
ENSMUSG00000037358	chrX	18460000	31
ENSMUSG00000033554	chr3	115880000	32
ENSMUSG00000033253	chr4	118400000	32
ENSMUSG00000019189	chr11	44500000	32
ENSMUSG00000007805	chr1	91800000	32
ENSMUSG00000021997	chr14	75120000	14
ENSMUSG00000036353	chr3	59260000	31
ENSMUSG00000041642	chr1	136120000	32
ENSMUSG00000042195	chr9	53760000	32
ENSMUSG00000027650	chr2	158020000	32
ENSMUSG00000020982	chr12	69340000	32
ENSMUSG00000032855	chr17	24540000	23
ENSMUSG00000025815	chr2	5940000	32
ENSMUSG00000037813	chr2	158220000	23
ENSMUSG00000034391	chr18	84920000	15
ENSMUSG00000020256	chr10	83520000	32
ENSMUSG00000024413	chr18	12220000	32
ENSMUSG00000025512	chr7	141520000	32
ENSMUSG00000022789	chr16	16340000	32
ENSMUSG00000018620	chr9	7620000	10
ENSMUSG00000055515	chr10	79240000	0
ENSMUSG00000029229	chr5	75040000	32
ENSMUSG00000021716	chr13	104780000	32
ENSMUSG00000054455	chr2	173720000	32
ENSMUSG00000078793	chr7	17860000	2
ENSMUSG00000078799	chr7	13620000	1
ENSMUSG00000066129	chr7	139880000	27
ENSMUSG00000018068	chr11	86240000	32
ENSMUSG00000072774	chr5	104860000	22
ENSMUSG00000001150	chr10	76460000	32
ENSMUSG00000001627	chr12	40240000	32
ENSMUSG00000042015	chr13	94960000	32
ENSMUSG00000030207	chr6	135180000	32
ENSMUSG00000042298	chr11	62280000	32
ENSMUSG00000042408	chr4	127060000	23
ENSMUSG00000029787	chr6	56700000	32
ENSMUSG00000035891	chr15	86180000	32
ENSMUSG00000042684	chr1	153540000	32
ENSMUSG00000022382	chr15	85580000	31
ENSMUSG00000025786	chr9	123100000	32
ENSMUSG00000019969	chr12	83680000	32
ENSMUSG00000016458	chr2	105120000	29
ENSMUSG00000037992	chr11	98920000	32
ENSMUSG00000025437	chr3	152340000	32
ENSMUSG00000024899	chr19	32620000	32
ENSMUSG00000092032	chr7	42040000	0
ENSMUSG00000030515	chr7	65640000	32
ENSMUSG00000063245	chr4	146600000	21
ENSMUSG00000022387	chr15	88720000	32
ENSMUSG00000031826	chr8	119900000	10
ENSMUSG00000021816	chr14	20540000	32
ENSMUSG00000090213	chr2	167680000	32
ENSMUSG00000019935	chr10	89620000	8
ENSMUSG00000055780	chrX	51800000	10
ENSMUSG00000013539	chr16	18340000	32
ENSMUSG00000054889	chr13	38140000	31
ENSMUSG00000042671	chr1	153640000	21
ENSMUSG00000029781	chr6	56820000	32
ENSMUSG00000027642	chr2	157260000	32
ENSMUSG00000033949	chr18	46200000	32
ENSMUSG00000031885	chr8	105160000	32
ENSMUSG00000027540	chr2	167920000	32
ENSMUSG00000034799	chr8	71660000	32
ENSMUSG00000022742	chr16	58660000	32
ENSMUSG00000027882	chr3	108840000	32
ENSMUSG00000027469	chr2	152840000	32
ENSMUSG00000029154	chr5	73400000	27
ENSMUSG00000026979	chr2	24360000	32
ENSMUSG00000026031	chr1	58700000	32
ENSMUSG00000031537	chr8	22700000	32
ENSMUSG00000030093	chr6	91400000	18
ENSMUSG00000061306	chr11	120140000	32
ENSMUSG00000026781	chr2	23060000	32
ENSMUSG00000037997	chr6	127440000	32
ENSMUSG00000003226	chr10	58440000	32
ENSMUSG00000026761	chr2	48940000	32
ENSMUSG00000061531	chr2	14160000	18
ENSMUSG00000030814	chr7	127700000	32
ENSMUSG00000026605	chr1	189680000	31
ENSMUSG00000020007	chr10	19700000	19
ENSMUSG00000063932	chr8	27440000	10
ENSMUSG00000022024	chr14	79580000	32
ENSMUSG00000043183	chr13	54500000	32
ENSMUSG00000029468	chr5	122640000	32
ENSMUSG00000021962	chr14	30460000	32
ENSMUSG00000036131	chrX	50940000	15
ENSMUSG00000032177	chr9	21160000	32
ENSMUSG00000025809	chr8	128680000	32
ENSMUSG00000040268	chr7	130860000	32
ENSMUSG00000069539	chr10	89680000	32
ENSMUSG00000027519	chr2	173640000	32
ENSMUSG00000061171	chr2	65360000	20
ENSMUSG00000096188	chr8	104380000	32
ENSMUSG00000029299	chr5	104980000	29
ENSMUSG00000067242	chr19	38260000	25
ENSMUSG00000028890	chr4	124800000	32
ENSMUSG00000041147	chr5	150520000	32
ENSMUSG00000041544	chr4	148280000	21
ENSMUSG00000020941	chr11	103260000	32
ENSMUSG00000050558	chr2	132380000	17
ENSMUSG00000028527	chr4	101400000	32
ENSMUSG00000059811	chr17	79880000	32
ENSMUSG00000026628	chr1	191200000	31
ENSMUSG00000055114	chr15	58380000	23
ENSMUSG00000037791	chr11	77980000	32
ENSMUSG00000038042	chr13	48620000	32
ENSMUSG00000073792	chr4	99700000	32
ENSMUSG00000029122	chr5	37320000	32
ENSMUSG00000032042	chr9	35200000	32
ENSMUSG00000038351	chr11	74880000	32
ENSMUSG00000095105	chr13	12520000	25
ENSMUSG00000026413	chr1	135900000	30
ENSMUSG00000034163	chr10	115380000	32
ENSMUSG00000032688	chr18	65420000	32
ENSMUSG00000039616	chr18	24640000	32
ENSMUSG00000018481	chr11	85220000	32
ENSMUSG00000020687	chr11	104540000	32
ENSMUSG00000008789	chr7	17700000	2
ENSMUSG00000020463	chr11	29160000	32
ENSMUSG00000034063	chr6	91900000	9
ENSMUSG00000045777	chr7	142360000	31
ENSMUSG00000033960	chr18	4620000	32
ENSMUSG00000060913	chr3	19640000	7
ENSMUSG00000020412	chr11	4620000	32
ENSMUSG00000022094	chr14	70340000	32
ENSMUSG00000050702	chr9	56000000	3
ENSMUSG00000026828	chr2	57980000	21
ENSMUSG00000036123	chr13	74120000	20
ENSMUSG00000038763	chr7	81040000	29
ENSMUSG00000049972	chr4	112420000	2
ENSMUSG00000028602	chr4	145300000	30
ENSMUSG00000021374	chr13	46720000	32
ENSMUSG00000037206	chr9	58200000	32
ENSMUSG00000042371	chr11	61720000	28
ENSMUSG00000037461	chr1	191560000	32
ENSMUSG00000021056	chr12	76240000	10
ENSMUSG00000024776	chr19	34180000	32
ENSMUSG00000041890	chr5	114760000	32
ENSMUSG00000001687	chr5	148540000	32
ENSMUSG00000027378	chr2	127780000	32
ENSMUSG00000022362	chr15	58060000	32
ENSMUSG00000079353	chr2	58840000	0
ENSMUSG00000041879	chr1	135420000	32
ENSMUSG00000021770	chr14	21740000	32
ENSMUSG00000028988	chr4	149500000	32
ENSMUSG00000046942	chrX	79660000	15
ENSMUSG00000032489	chr9	110460000	32
ENSMUSG00000029471	chr5	122760000	32
ENSMUSG00000000632	chr11	77920000	30
ENSMUSG00000009575	chr15	103220000	32
ENSMUSG00000038212	chr13	65100000	32
ENSMUSG00000000958	chr14	54400000	32
ENSMUSG00000020074	chr10	62780000	32
ENSMUSG00000022504	chr16	10480000	31
ENSMUSG00000060985	chr1	156300000	23
ENSMUSG00000094814	chr15	10320000	6
ENSMUSG00000028126	chr3	95100000	32
ENSMUSG00000034247	chr11	103400000	32
ENSMUSG00000071708	chrX	157480000	32
ENSMUSG00000039768	chr4	151920000	32
ENSMUSG00000005373	chr5	135080000	32
ENSMUSG00000020669	chr12	30900000	32
ENSMUSG00000074139	chr9	92300000	12
ENSMUSG00000066037	chr4	136300000	32
ENSMUSG00000037275	chr11	58160000	32
ENSMUSG00000067916	chr4	147120000	30
ENSMUSG00000028614	chr4	107360000	32
ENSMUSG00000078879	chr2	176660000	23
ENSMUSG00000042529	chr11	61020000	30
ENSMUSG00000035673	chr10	80100000	23
ENSMUSG00000037681	chr9	99340000	32
ENSMUSG00000031727	chr8	109480000	16
ENSMUSG00000031553	chr8	24720000	27
ENSMUSG00000038058	chr6	54960000	32
ENSMUSG00000064128	chr14	56560000	32
ENSMUSG00000066568	chr7	34380000	32
ENSMUSG00000031872	chr8	104160000	31
ENSMUSG00000033579	chr8	111380000	32
ENSMUSG00000020263	chr10	83640000	32
ENSMUSG00000029467	chr5	122500000	32
ENSMUSG00000045350	chr15	99960000	19
ENSMUSG00000033386	chr3	116840000	31
ENSMUSG00000029837	chr6	36920000	15
ENSMUSG00000040043	chr10	128180000	32
ENSMUSG00000032293	chr9	54860000	32
ENSMUSG00000090176	chr16	44860000	11
ENSMUSG00000039536	chr2	166980000	32
ENSMUSG00000045039	chr7	25300000	32
ENSMUSG00000013415	chr11	96000000	22
ENSMUSG00000017969	chr2	167240000	32
ENSMUSG00000033808	chr2	120400000	32
ENSMUSG00000041406	chr1	163980000	32
ENSMUSG00000022808	chr16	33240000	32
ENSMUSG00000036552	chr17	15040000	32
ENSMUSG00000074212	chr3	137860000	32
ENSMUSG00000079110	chr2	120440000	32
ENSMUSG00000048537	chr9	44720000	32
ENSMUSG00000027361	chr2	126660000	32
ENSMUSG00000042246	chr7	118580000	32
ENSMUSG00000058793	chr2	132260000	32
ENSMUSG00000066537	chr7	41440000	11
ENSMUSG00000093456	chr9	107980000	22
ENSMUSG00000026554	chr1	172140000	32
ENSMUSG00000029276	chr5	107580000	32
ENSMUSG00000032058	chr9	50840000	32
ENSMUSG00000032870	chr4	121000000	32
ENSMUSG00000034116	chr17	57260000	32
ENSMUSG00000070880	chr2	70540000	29
ENSMUSG00000013418	chr11	95900000	31
ENSMUSG00000026114	chr1	37200000	11
ENSMUSG00000024480	chr18	46740000	23
ENSMUSG00000049680	chr11	5760000	32
ENSMUSG00000029560	chr5	140380000	32
ENSMUSG00000005493	chr3	153900000	19
ENSMUSG00000021288	chr12	111740000	32
ENSMUSG00000092356	chr2	26580000	15
ENSMUSG00000028312	chr4	52420000	32
ENSMUSG00000048330	chr7	109080000	32
ENSMUSG00000090509	chr17	35600000	14
ENSMUSG00000025931	chr1	20880000	32
ENSMUSG00000020097	chr10	61140000	32
ENSMUSG00000079509	chrX	94120000	32
ENSMUSG00000047528	chr1	58680000	25
ENSMUSG00000015405	chrX	164120000	29
ENSMUSG00000030500	chr7	51620000	14
ENSMUSG00000020044	chr10	86300000	32
ENSMUSG00000027947	chr3	89900000	32
ENSMUSG00000021774	chr14	18320000	32
ENSMUSG00000026796	chr2	32860000	32
ENSMUSG00000033228	chr15	96460000	32
ENSMUSG00000068040	chr2	153160000	32
ENSMUSG00000092541	chr9	88440000	20
ENSMUSG00000005897	chr10	94140000	32
ENSMUSG00000020105	chr10	125960000	32
ENSMUSG00000036817	chr5	139200000	32
ENSMUSG00000021608	chr13	73460000	32
ENSMUSG00000053877	chr7	127500000	32
ENSMUSG00000029179	chr5	52760000	32
ENSMUSG00000041798	chr11	5940000	32
ENSMUSG00000040219	chr9	49480000	32
ENSMUSG00000004056	chr7	27580000	32
ENSMUSG00000033327	chr17	34660000	32
ENSMUSG00000029312	chr5	103900000	32
ENSMUSG00000029528	chr5	115500000	32
ENSMUSG00000029826	chr6	38340000	32
ENSMUSG00000054434	chr5	123060000	32
ENSMUSG00000023452	chr5	32780000	23
ENSMUSG00000021417	chr13	35020000	32
ENSMUSG00000021340	chr13	24940000	32
ENSMUSG00000029992	chr6	87040000	32
ENSMUSG00000005656	chr12	54780000	32
ENSMUSG00000042564	chr15	79640000	32
ENSMUSG00000026754	chr2	39060000	32
ENSMUSG00000042046	chr1	132400000	32
ENSMUSG00000028413	chr4	40840000	32
ENSMUSG00000095935	chr4	73600000	1
ENSMUSG00000000628	chr6	82760000	32
ENSMUSG00000039891	chr10	17780000	32
ENSMUSG00000028089	chr3	97600000	32
ENSMUSG00000021496	chr13	55720000	32
ENSMUSG00000087303	chr19	33760000	23
ENSMUSG00000029778	chr6	55440000	32
ENSMUSG00000032212	chr9	70540000	32
ENSMUSG00000015647	chr2	180220000	32
ENSMUSG00000032561	chr9	104320000	30
ENSMUSG00000026470	chr1	155140000	32
ENSMUSG00000058729	chr1	180640000	32
ENSMUSG00000006205	chr7	130920000	32
ENSMUSG00000036202	chr2	52060000	32
ENSMUSG00000059383	chr9	76200000	0
ENSMUSG00000052609	chr12	76520000	32
ENSMUSG00000028803	chr4	135480000	32
ENSMUSG00000047730	chr7	28060000	1
ENSMUSG00000042607	chr6	5380000	32
ENSMUSG00000046207	chr11	68500000	32
ENSMUSG00000047879	chr18	10040000	32
ENSMUSG00000074746	chr19	59340000	32
ENSMUSG00000020865	chr11	94380000	32
ENSMUSG00000029672	chr6	22340000	32
ENSMUSG00000040009	chr10	74960000	32
ENSMUSG00000090290	chr8	126460000	22
ENSMUSG00000079800	chrGL456210.1	40000	0
ENSMUSG00000029502	chr5	110160000	32
ENSMUSG00000027668	chr3	32520000	32
ENSMUSG00000050150	chr3	135340000	29
ENSMUSG00000026600	chr1	156460000	32
ENSMUSG00000014725	chr14	68640000	24
ENSMUSG00000034998	chr17	88440000	32
ENSMUSG00000003131	chr9	46000000	32
ENSMUSG00000041730	chr14	32580000	2
ENSMUSG00000000378	chr11	6540000	32
ENSMUSG00000030214	chr6	136660000	31
ENSMUSG00000023353	chr5	24440000	32
ENSMUSG00000039354	chr1	72580000	32
ENSMUSG00000024347	chr18	35960000	32
ENSMUSG00000039275	chr11	121240000	32
ENSMUSG00000091636	chr17	69420000	16
ENSMUSG00000032883	chr1	78640000	32
ENSMUSG00000021254	chr12	86240000	32
ENSMUSG00000060180	chr11	67320000	12
ENSMUSG00000091205	chr7	85560000	0
ENSMUSG00000026812	chr2	28640000	32
ENSMUSG00000042156	chr14	118920000	32
ENSMUSG00000028483	chr4	83400000	32
ENSMUSG00000034723	chr2	134640000	32
ENSMUSG00000087236	chr1	179740000	2
ENSMUSG00000079508	chrX	94360000	23
ENSMUSG00000025860	chrX	42040000	32
ENSMUSG00000061356	chr14	65580000	8
ENSMUSG00000022485	chr15	102960000	27
ENSMUSG00000019916	chr10	59320000	32
ENSMUSG00000028571	chr4	96060000	15
ENSMUSG00000073226	chr5	10180000	16
ENSMUSG00000039168	chr15	31220000	32
ENSMUSG00000050901	chr9	15860000	0
ENSMUSG00000032500	chr9	111420000	29
ENSMUSG00000031434	chrX	139860000	32
ENSMUSG00000001891	chr11	21360000	32
ENSMUSG00000072595	chr14	44200000	11
ENSMUSG00000047880	chr9	44560000	27
ENSMUSG00000028479	chr4	44080000	32
ENSMUSG00000038039	chr10	58240000	32
ENSMUSG00000052593	chr12	21360000	32
ENSMUSG00000000751	chr11	75340000	32
ENSMUSG00000062661	chr2	31240000	32
ENSMUSG00000020992	chr12	69780000	28
ENSMUSG00000029121	chr5	37240000	31
ENSMUSG00000029711	chr5	137520000	9
ENSMUSG00000032393	chr9	65020000	32
ENSMUSG00000032815	chr8	123300000	10
ENSMUSG00000038738	chr7	44300000	32
ENSMUSG00000000248	chr6	128920000	22
ENSMUSG00000026509	chr1	182500000	32
ENSMUSG00000043542	chr3	7500000	32
ENSMUSG00000048232	chr4	45080000	32
ENSMUSG00000041552	chrX	155620000	18
ENSMUSG00000006423	chrX	36860000	32
ENSMUSG00000027680	chr3	34000000	32
ENSMUSG00000026770	chr2	11640000	30
ENSMUSG00000027452	chr2	150660000	32
ENSMUSG00000022039	chr14	66060000	13
ENSMUSG00000092225	chr7	42860000	11
ENSMUSG00000018736	chr11	68860000	32
ENSMUSG00000024107	chr17	88780000	20
ENSMUSG00000026896	chr2	62640000	31
ENSMUSG00000076441	chr2	31460000	23
ENSMUSG00000027894	chr3	107500000	32
ENSMUSG00000041644	chr2	110580000	14
ENSMUSG00000045763	chr15	25400000	32
ENSMUSG00000030244	chr6	142460000	24
ENSMUSG00000054277	chr15	83340000	32
ENSMUSG00000047502	chr4	106720000	23
ENSMUSG00000030835	chr7	46020000	32
ENSMUSG00000054320	chr8	105400000	31
ENSMUSG00000059908	chr6	121820000	20
ENSMUSG00000022337	chr15	43460000	32
ENSMUSG00000038344	chrX	162820000	32
ENSMUSG00000028159	chr3	137980000	32
ENSMUSG00000004709	chr1	171540000	26
ENSMUSG00000015755	chr10	7940000	32
ENSMUSG00000031835	chr8	119540000	32
ENSMUSG00000025078	chr19	56540000	32
ENSMUSG00000028826	chr4	134840000	32
ENSMUSG00000020152	chr11	20100000	32
ENSMUSG00000055371	chr2	52740000	32
ENSMUSG00000038965	chr16	17200000	32
ENSMUSG00000026065	chr1	40580000	19
ENSMUSG00000037300	chr8	124720000	32
ENSMUSG00000021555	chr13	59580000	32
ENSMUSG00000042628	chr12	83580000	32
ENSMUSG00000049488	chr4	12080000	32
ENSMUSG00000055044	chr19	40260000	32
ENSMUSG00000040586	chrX	166440000	32
ENSMUSG00000018651	chr11	84120000	32
ENSMUSG00000045624	chr2	140160000	32
ENSMUSG00000045968	chr1	153900000	32
ENSMUSG00000000881	chrX	100760000	32
ENSMUSG00000034101	chr2	84640000	32
ENSMUSG00000020745	chr11	74720000	32
ENSMUSG00000053253	chr14	105240000	32
ENSMUSG00000005225	chr6	54580000	32
ENSMUSG00000033377	chr3	116960000	31
ENSMUSG00000017929	chr2	167340000	32
ENSMUSG00000030237	chr6	141840000	21
ENSMUSG00000054792	chr9	110460000	32
ENSMUSG00000034171	chr4	116000000	32
ENSMUSG00000019868	chr10	14700000	32
ENSMUSG00000024346	chr18	36440000	32
ENSMUSG00000053161	chr1	83140000	23
ENSMUSG00000032258	chr9	83440000	32
ENSMUSG00000050471	chr9	35260000	32
ENSMUSG00000028228	chr4	19560000	32
ENSMUSG00000039128	chr2	5840000	32
ENSMUSG00000045098	chr19	3760000	32
ENSMUSG00000024083	chr17	64320000	32
ENSMUSG00000087141	chr16	46000000	32
ENSMUSG00000074264	chr3	113600000	32
ENSMUSG00000047935	chr8	12380000	12
ENSMUSG00000022372	chr15	66820000	31
ENSMUSG00000038147	chr1	171820000	32
ENSMUSG00000014959	chr2	70660000	32
ENSMUSG00000007659	chr2	152820000	32
ENSMUSG00000048038	chr2	26280000	29
ENSMUSG00000027859	chr3	102460000	32
ENSMUSG00000028221	chr4	14860000	32
ENSMUSG00000025701	chr6	116460000	32
ENSMUSG00000027860	chr3	102200000	32
ENSMUSG00000091243	chr16	65800000	32
ENSMUSG00000053963	chr1	180480000	32
ENSMUSG00000026073	chr1	40060000	29
ENSMUSG00000031824	chr8	120100000	10
ENSMUSG00000042851	chr2	128960000	32
ENSMUSG00000007080	chr5	110280000	32
ENSMUSG00000031373	chrX	164020000	32
ENSMUSG00000024992	chr19	38120000	13
ENSMUSG00000022390	chr15	81740000	32
ENSMUSG00000029684	chr6	24660000	32
ENSMUSG00000062127	chr3	105040000	32
ENSMUSG00000069255	chr13	30640000	32
ENSMUSG00000079588	chr1	40800000	27
ENSMUSG00000026626	chr1	191400000	32
ENSMUSG00000031465	chr8	18740000	32
ENSMUSG00000060002	chr10	88500000	32
ENSMUSG00000028522	chr4	103100000	32
ENSMUSG00000024151	chr17	87660000	32
ENSMUSG00000020458	chr11	29680000	32
ENSMUSG00000037738	chr8	22120000	28
ENSMUSG00000070939	chr1	43080000	32
ENSMUSG00000062783	chrGL456221.1	160000	0
ENSMUSG00000043460	chr15	78700000	27
ENSMUSG00000040690	chr4	130040000	32
ENSMUSG00000038141	chr17	6240000	23
ENSMUSG00000040649	chr6	122480000	27
ENSMUSG00000029166	chr5	30800000	32
ENSMUSG00000046985	chr5	44220000	32
ENSMUSG00000030729	chr7	100220000	32
ENSMUSG00000005621	chr7	80980000	32
ENSMUSG00000029221	chr5	67300000	32
ENSMUSG00000013611	chr15	36540000	25
ENSMUSG00000026879	chr2	35240000	32
ENSMUSG00000036330	chr8	69080000	31
ENSMUSG00000028758	chr4	138240000	32
ENSMUSG00000005045	chr4	152320000	31
ENSMUSG00000021940	chr14	33580000	16
ENSMUSG00000049624	chr9	78580000	32
ENSMUSG00000036306	chr8	69180000	23
ENSMUSG00000035248	chr13	59820000	32
ENSMUSG00000091206	chr17	18080000	0
ENSMUSG00000056260	chr3	106680000	32
ENSMUSG00000078956	chr2	160600000	14
ENSMUSG00000019894	chr10	103360000	30
ENSMUSG00000027012	chr2	71200000	32
ENSMUSG00000020827	chr11	70560000	32
ENSMUSG00000025757	chr3	40740000	32
ENSMUSG00000002221	chr5	27780000	32
ENSMUSG00000006526	chr14	30820000	32
ENSMUSG00000089678	chr15	10340000	18
ENSMUSG00000095493	chr14	34100000	14
ENSMUSG00000020917	chr11	100520000	32
ENSMUSG00000032040	chr9	35160000	32
ENSMUSG00000032485	chr9	110320000	32
ENSMUSG00000021395	chr13	51100000	32
ENSMUSG00000078970	chr11	17180000	32
ENSMUSG00000038446	chr10	40880000	32
ENSMUSG00000040812	chr2	90780000	23
ENSMUSG00000008730	chr3	103780000	32
ENSMUSG00000019795	chr10	7680000	32
ENSMUSG00000030230	chr6	140040000	16
ENSMUSG00000053062	chr16	84760000	32
ENSMUSG00000058173	chr9	15480000	32
ENSMUSG00000063364	chr2	150360000	31
ENSMUSG00000040298	chr7	130760000	11
ENSMUSG00000063428	chr10	40620000	31
ENSMUSG00000022475	chr15	97840000	32
ENSMUSG00000028439	chr4	41560000	32
ENSMUSG00000041660	chr2	110300000	28
ENSMUSG00000022821	chr16	37580000	26
ENSMUSG00000010608	chr12	83620000	32
ENSMUSG00000073147	chr5	23420000	32
ENSMUSG00000032470	chr9	99420000	32
ENSMUSG00000027363	chr2	126700000	32
ENSMUSG00000022142	chr15	8100000	32
ENSMUSG00000010803	chr11	42180000	21
ENSMUSG00000002222	chr6	71440000	32
ENSMUSG00000000223	chrX	134400000	31
ENSMUSG00000038914	chr2	180700000	32
ENSMUSG00000024300	chr17	33540000	31
ENSMUSG00000022517	chr16	4880000	32
ENSMUSG00000031112	chrX	50840000	32
ENSMUSG00000035104	chr6	82040000	32
ENSMUSG00000027806	chr3	58400000	32
ENSMUSG00000038400	chr2	173260000	32
ENSMUSG00000031103	chrX	48460000	32
ENSMUSG00000003617	chr3	19940000	32
ENSMUSG00000024068	chr17	74320000	32
ENSMUSG00000026029	chr1	58780000	32
ENSMUSG00000020400	chr11	54960000	32
ENSMUSG00000039509	chr8	123940000	10
ENSMUSG00000078954	chr15	84720000	32
ENSMUSG00000050138	chr17	87780000	29
ENSMUSG00000037851	chr13	49680000	32
ENSMUSG00000034893	chr14	75740000	32
ENSMUSG00000035051	chr17	80280000	32
ENSMUSG00000036940	chr4	136600000	32
ENSMUSG00000039396	chr8	53620000	30
ENSMUSG00000036196	chr17	28680000	32
ENSMUSG00000074882	chr19	39740000	14
ENSMUSG00000040760	chr14	26960000	32
ENSMUSG00000027500	chr3	8500000	31
ENSMUSG00000022471	chr15	81980000	32
ENSMUSG00000060487	chr10	9660000	31
ENSMUSG00000042742	chr6	13660000	32
ENSMUSG00000048482	chr2	109660000	26
ENSMUSG00000047642	chr10	121640000	16
ENSMUSG00000038145	chr9	122100000	32
ENSMUSG00000010914	chr2	103060000	32
